,Result,Duration,Champion,Type,Kills,Deaths,Assists,KDA Ratio,Multikill,Level,CS,CS per min,Kill Participation,Wards
143,Victory,27,Heimerdinger,AP,2,7,15,2.4285714285714284,0,14,169,6.3,47,4
144,Defeat,38,Heimerdinger,AP,11,12,10,1.75,0,18,257,6.7,49,2
145,Victory,14,Heimerdinger,AP,5,0,9,100.0,0,10,130,8.9,64,0
146,Victory,20,Heimerdinger,AP,7,0,8,100.0,0,12,171,8.5,54,4
147,Victory,18,Xayah,AD,15,2,6,10.5,2,13,185,10.2,78,1
148,Remake,3,Xayah,AD,0,1,1,1.0,0,2,17,5.1,50,0
149,Victory,14,Master Yi,AD,7,6,18,4.166666666666667,3,14,35,2.5,60,0
150,Victory,28,Tristana,AD,12,4,11,5.75,0,16,208,7.2,72,3
151,Victory,20,Pantheon,AD,4,4,6,2.5,0,12,117,5.8,28,3
152,Victory,28,Cassiopeia,AP,9,5,11,4.0,0,17,193,6.7,74,6
153,Victory,29,Yasuo,AD,6,6,8,2.3333333333333335,0,15,194,6.5,42,3
154,Defeat,31,Ezreal,AD,10,10,10,2.0,0,15,184,5.8,56,2
155,Victory,25,Yasuo,AD,5,3,3,2.6666666666666665,0,15,248,9.6,35,2
156,Victory,27,Yasuo,AD,6,5,11,3.4,2,16,213,7.9,38,2
157,Defeat,26,Ezreal,AD,4,10,3,0.7,0,13,159,6.0,39,2
158,Victory,30,Renekton,AD,11,5,6,3.4,2,16,207,6.7,33,3
159,Defeat,31,Akali,AP,10,3,6,5.333333333333333,0,16,251,7.9,44,4
160,Victory,15,Syndra,AP,6,0,6,100.0,2,11,122,7.8,40,2
161,Victory,38,Lucian,AD,15,5,13,5.6,0,18,294,7.7,65,3
162,Defeat,24,Lee Sin,AD,4,7,6,1.4285714285714286,2,12,132,5.5,63,7
163,Defeat,33,Elise,AP,3,10,10,1.3,0,14,148,4.4,28,9
164,Victory,15,Lee Sin,AD,0,2,5,2.5,0,9,99,6.3,22,4
165,Defeat,21,Syndra,AP,5,6,2,1.1666666666666667,2,12,131,6.2,32,4
166,Defeat,32,Vi,AD,11,13,3,1.0769230769230769,2,14,164,5.1,36,2
167,Defeat,31,Sylas,AP,2,9,6,0.8888888888888888,0,13,160,5.1,35,4
168,Defeat,22,Sylas,AP,0,8,3,0.375,0,10,77,3.4,30,1
169,Defeat,16,Master Yi,AD,0,3,1,0.3333333333333333,0,8,68,4.2,14,0
170,Defeat,17,Morgana,AP,1,7,5,0.8571428571428571,0,9,7,0.4,75,5
171,Victory,31,Senna,AD,2,4,22,6.0,0,15,35,1.1,71,10
172,Victory,25,Leona,AP,2,5,11,2.6,0,13,28,1.1,48,7
173,Defeat,37,Lux,AP,4,11,18,2.0,0,15,29,0.8,59,13
174,Victory,27,Bard,AP,2,4,13,3.75,0,13,13,0.5,48,10
175,Victory,21,Thresh,AD,1,4,11,3.0,0,11,27,1.3,46,7
176,Victory,28,Leona,AP,2,2,20,11.0,0,14,35,1.2,81,10
177,Defeat,27,Pyke,AD,2,8,8,1.25,0,10,44,1.6,48,6
178,Defeat,33,Leona,AP,1,8,20,2.625,0,13,27,0.8,60,14
179,Victory,20,Pyke,AD,3,1,10,13.0,0,10,23,1.1,45,5
180,Defeat,28,Veigar,AP,9,10,8,1.7,3,13,130,4.6,59,1
181,Victory,32,Veigar,AP,6,12,14,1.6666666666666667,2,15,187,5.7,56,1
182,Defeat,32,Veigar,AP,9,17,13,1.2941176470588236,2,15,147,4.5,58,1
183,Victory,27,Veigar,AP,9,6,16,4.166666666666667,2,13,145,5.3,64,2
184,Victory,15,Veigar,AP,8,2,6,7.0,0,9,125,8.1,88,2
185,Remake,3,Veigar,AP,0,2,1,0.5,0,1,2,0.6,100,1
186,Victory,26,Veigar,AP,3,6,7,1.6666666666666667,0,13,173,6.6,42,1
187,Defeat,38,Ezreal,AD,8,7,9,2.4285714285714284,2,16,224,5.9,71,4
188,Defeat,23,Veigar,AP,4,7,4,1.1428571428571428,0,13,187,7.8,73,3
189,Defeat,25,Zac,AP,5,8,11,2.0,2,13,126,4.9,64,2
190,Victory,44,LeBlanc,AP,17,5,8,5.0,2,18,278,6.3,66,4
191,Victory,11,Ekko,AP,2,0,4,100.0,0,9,62,5.5,38,3
192,Victory,32,LeBlanc,AP,2,3,11,4.333333333333333,0,16,206,6.3,41,4
193,Defeat,28,Kassadin,AP,11,6,7,3.0,2,16,200,7.1,60,7
194,Victory,24,Ekko,AP,11,4,5,4.0,0,15,188,7.6,44,2
195,Victory,30,Kassadin,AP,6,5,3,1.8,2,16,214,7.1,33,6
196,Defeat,23,Ekko,AP,6,2,2,4.0,0,14,149,6.3,42,2
197,Victory,27,Ekko,AP,7,1,5,12.0,2,16,222,7.9,48,2
198,Defeat,22,Rakan,AP,2,8,2,0.5,0,9,9,0.4,29,5
199,Victory,16,Jarvan IV,AD,1,0,7,100.0,0,10,96,5.9,62,3
